200
17.4387
37.0242
56.7377
2.994e-19      5.703e-22      7.015e-18      	4.327
3.246e-18      5.338e-17      5.507e-17      	4.362
5.367e-17      6.134e-16      2.274e-18      	4.397
1.545e-17      5.988e-16      1.731e-16      	4.432
1.029e-16      5.252e-17      1.388e-16      	4.467
5.553e-17      1.803e-16      2.576e-17      	4.503
1.57e-16       1.936e-18      1.165e-16      	4.538
3.128e-19      1.822e-16      9.35e-17       	4.573
6.058e-17      2.332e-17      9.644e-17      	4.608
1.701e-16      9.531e-17      1.293e-17      	4.643
4.55e-19       6.69e-17       5.8e-17        	4.678
8.075e-16      2.249e-16      2.141e-18      	4.714
8.068e-17      2.06e-16       8.044e-17      	4.749
5.782e-17      3.813e-17      5.993e-17      	4.784
1.235e-17      1.174e-17      3.456e-16      	4.819
5.15e-17       9.804e-18      9.766e-18      	4.854
1.493e-16      7.229e-17      4.77e-17       	4.889
1.132e-17      1.077e-17      1.207e-16      	4.925
6.644e-18      1.332e-17      4.651e-18      	4.96
4.549e-17      2.176e-18      7.098e-24      	4.995
1.047e-16      1.05e-17       6.871e-17      	5.03
3.604e-18      5.306e-17      1.643e-19      	5.065
7.992e-17      6.114e-17      5.135e-17      	5.101
5.914e-18      1.477e-17      5.702e-17      	5.136
1.332e-16      7.112e-17      3.308e-17      	5.171
2.383e-19      6.175e-18      1.578e-16      	5.206
1.657e-16      2.712e-16      1.159e-16      	5.241
1.295e-16      1.635e-18      3.526e-17      	5.276
5.741e-18      5.262e-17      7.938e-17      	5.312
1.445e-17      9.639e-18      9.225e-17      	5.347
1.71e-16       9.583e-18      1.128e-16      	5.382
2.476e-17      6.345e-17      7.505e-17      	5.417
5.181e-17      1.283e-16      1.935e-17      	5.452
1.308e-16      3.765e-18      4.833e-17      	5.487
5.353e-17      1.574e-16      5.746e-17      	5.523
5.754e-19      2.714e-19      5.501e-17      	5.558
2.863e-17      8.08e-18       6.059e-19      	5.593
3.823e-19      5.003e-17      5.83e-17       	5.628
1.469e-17      1.208e-17      5.102e-18      	5.663
7.727e-17      2.605e-16      1.75e-17       	5.698
2.724e-16      2.594e-16      3.348e-16      	5.734
1.67e-17       1.519e-17      1.778e-16      	5.769
6.68e-18       8.691e-17      1.349e-16      	5.804
1.798e-16      8.166e-16      9.94e-17       	5.839
1.046e-16      9.6e-17        3.919e-17      	5.874
9.417e-17      5.831e-16      2.513e-17      	5.91
7.327e-18      8.087e-17      2.931e-18      	5.945
7.8e-18        1.663e-17      5.117e-17      	5.98
2.975e-16      2.512e-17      5.282e-17      	6.015
2.204e-20      4.907e-18      2.328e-17      	6.05
1.43e-16       1.537e-17      5.096e-17      	6.085
6.677e-17      6.764e-17      2.185e-18      	6.121
2.133e-17      1.152e-17      4.119e-17      	6.156
7.243e-17      7.157e-18      1.511e-16      	6.191
3.611e-19      3.626e-17      1.157e-16      	6.226
1.838e-17      6.109e-17      7.418e-17      	6.261
4.267e-19      6.169e-17      1.384e-16      	6.296
2.606e-20      7.744e-17      4.08e-17       	6.332
2.053e-16      8.186e-17      5.667e-16      	6.367
6.409e-17      3.688e-18      3.839e-17      	6.402
5.3e-18        4.125e-17      9.309e-18      	6.437
1.721e-17      7.246e-21      4.681e-17      	6.472
1.275e-17      1.012e-19      8.303e-17      	6.508
1.269e-18      2.019e-16      4.97e-17       	6.543
1.347e-16      1.626e-16      1.489e-17      	6.578
1.421e-17      6.68e-17       9.919e-17      	6.613
5.024e-18      7.666e-18      3.232e-18      	6.648
5.82e-17       2.275e-16      6.511e-17      	6.683
1.546e-17      6.168e-18      2.59e-17       	6.719
3.045e-16      6.964e-17      7.594e-17      	6.754
2.987e-17      1.128e-16      2.6e-20        	6.789
3.414e-18      7.606e-18      1.517e-18      	6.824
6.759e-19      5.714e-17      3.814e-17      	6.859
7.116e-17      1.97e-17       2.171e-16      	6.894
2.579e-16      7.012e-18      5.871e-17      	6.93
1.044e-18      4.742e-17      1.035e-16      	6.965
0              0              0              	7
