200
17.4387
37.0242
56.7377
0              0              0              	0
0.0007973      0.00131        0.001706       	0.03518
0.003233       0.005185       0.006586       	0.07035
0.007269       0.01119        0.01363        	0.1055
0.01274        0.0185         0.02119        	0.1407
0.01934        0.02602        0.0274         	0.1759
0.0267         0.03257        0.03069        	0.2111
0.03437        0.03712        0.03021        	0.2462
0.04188        0.03896        0.02607        	0.2814
0.0488         0.03779        0.01928        	0.3166
0.05473        0.03381        0.01155        	0.3518
0.05936        0.02765        0.004809       	0.3869
0.0625         0.02027        0.000723       	0.4221
0.06404        0.0128         0.0002968      	0.4573
0.06401        0.006363       0.003635       	0.4925
0.0625         0.001895       0.009945       	0.5276
0.05971        3.346e-05      0.01776        	0.5628
0.05587        0.001034       0.02529        	0.598
0.05125        0.004769       0.03088        	0.6332
0.04612        0.01077        0.03334        	0.6683
0.04075        0.01833        0.03223        	0.7035
0.03537        0.02659        0.02786        	0.7387
0.03017        0.03472        0.02122        	0.7739
0.0253         0.04195        0.01372        	0.809
0.02088        0.04768        0.006878       	0.8442
0.01694        0.05155        0.002012       	0.8794
0.01354        0.05339        2.274e-05      	0.9146
0.01065        0.05327        0.001262       	0.9497
0.008246       0.0514         0.00553        	0.9849
0.00629        0.0481         0.01217        	1.02
0.004727       0.04376        0.02022        	1.055
0.0035         0.03879        0.02861        	1.09
0.002553       0.03354        0.03635        	1.126
0.001836       0.02834        0.04263        	1.161
0.001301       0.02341        0.04691        	1.196
0.0009092      0.01893        0.04899        	1.231
0.0006263      0.015          0.0489         	1.266
0.0004254      0.01165        0.04691        	1.302
0.000285       0.008874       0.04343        	1.337
0.0001882      0.006635       0.03892        	1.372
0.0001226      0.004871       0.03385        	1.407
7.882e-05      0.003512       0.02863        	1.442
4.996e-05      0.002489       0.02358        	1.477
3.125e-05      0.001733       0.01895        	1.513
1.928e-05      0.001187       0.01486        	1.548
1.173e-05      0.0007996      0.0114         	1.583
7.047e-06      0.0005299      0.008552       	1.618
4.176e-06      0.0003455      0.006282       	1.653
2.442e-06      0.0002217      0.00452        	1.688
1.409e-06      0.0001401      0.003188       	1.724
8.026e-07      8.714e-05      0.002206       	1.759
4.511e-07      5.337e-05      0.001497       	1.794
2.502e-07      3.22e-05       0.0009974      	1.829
1.37e-07       1.913e-05      0.0006526      	1.864
7.402e-08      1.12e-05       0.0004194      	1.899
3.949e-08      6.461e-06      0.0002649      	1.935
2.079e-08      3.672e-06      0.0001644      	1.97
1.08e-08       2.057e-06      0.0001003      	2.005
5.54e-09       1.135e-06      6.021e-05      	2.04
2.806e-09      6.179e-07      3.554e-05      	2.075
1.402e-09      3.315e-07      2.064e-05      	2.111
6.912e-10      1.753e-07      1.179e-05      	2.146
3.368e-10      9.143e-08      6.633e-06      	2.181
1.617e-10      4.7e-08        3.672e-06      	2.216
